index;needs_update;updated;size;true_positive_self;true_negative_self;false_positive_self;false_negative_self;true_positive_eval;true_negative_eval;false_positive_eval;false_negative_eval;
272;false;false;6;16;257;0;0;5178;180792;2208;5968;
177;false;false;1;14;164;0;0;6366;182059;941;4780;
282;false;false;6;16;267;0;0;5178;180792;2208;5968;
179;false;false;1;14;166;0;0;6366;182059;941;4780;
171;false;false;1;14;158;0;0;6366;182059;941;4780;
269;false;false;6;16;254;0;0;5178;180792;2208;5968;
494;false;false;6;20;473;2;0;5800;181598;1402;5346;
274;false;false;6;16;259;0;0;5178;180792;2208;5968;
280;false;false;6;16;265;0;0;5178;180792;2208;5968;
187;false;false;2;16;172;0;0;6528;180359;2641;4618;
189;false;false;2;16;174;0;0;6478;181161;1839;4668;
276;false;false;6;16;261;0;0;5178;180792;2208;5968;
289;false;false;6;16;274;0;0;5178;180792;2208;5968;
183;false;false;1;14;170;0;0;6366;182059;941;4780;
191;false;false;2;16;176;0;0;6478;181161;1839;4668;
284;false;false;6;16;269;0;0;5178;180792;2208;5968;
294;false;false;6;16;279;0;0;5178;180792;2208;5968;
506;false;false;6;20;485;2;0;5800;181598;1402;5346;
286;false;false;6;16;271;0;0;5178;180792;2208;5968;
281;false;false;6;16;266;0;0;5178;180792;2208;5968;
199;false;false;2;16;184;0;0;6478;181161;1839;4668;
292;false;false;6;16;277;0;0;5178;180792;2208;5968;
201;false;false;2;16;186;0;0;6478;181161;1839;4668;
203;false;false;2;16;188;0;0;6478;181161;1839;4668;
195;false;false;2;16;180;0;0;6478;181161;1839;4668;
288;false;false;6;16;273;0;0;5178;180792;2208;5968;
301;false;false;6;16;286;0;0;5178;180792;2208;5968;
296;false;false;6;16;281;0;0;5178;180792;2208;5968;
306;false;false;6;16;291;0;0;5146;180436;2564;6000;
211;false;false;2;16;196;0;0;6478;181161;1839;4668;
298;false;false;6;16;283;0;0;5178;180792;2208;5968;
213;false;false;2;16;198;0;0;6478;181161;1839;4668;
518;false;false;6;20;497;2;0;5800;181598;1402;5346;
293;false;false;6;16;278;0;0;5178;180792;2208;5968;
215;false;false;2;16;200;0;0;6478;181161;1839;4668;
304;false;false;6;16;289;0;0;5146;180436;2564;6000;
300;false;false;6;16;285;0;0;5178;180792;2208;5968;
207;false;false;2;16;192;0;0;6478;181161;1839;4668;
313;false;false;6;16;298;0;0;5146;180436;2564;6000;
308;false;false;6;16;293;0;0;5146;180436;2564;6000;
310;false;false;6;16;295;0;0;5146;180436;2564;6000;
225;false;false;2;16;210;0;0;6478;181161;1839;4668;
318;false;false;6;16;303;0;0;5415;180793;2207;5731;
227;false;false;2;16;212;0;0;6478;181161;1839;4668;
316;false;true;6;16;301;0;0;5415;180793;2207;5731;
223;false;false;2;16;208;0;0;6478;181161;1839;4668;
305;false;false;6;16;290;0;0;5146;180436;2564;6000;
530;false;false;6;20;509;2;0;5800;181598;1402;5346;
219;false;false;2;16;204;0;0;6478;181161;1839;4668;
312;false;false;6;16;297;0;0;5146;180436;2564;6000;
325;false;false;6;16;310;0;0;5415;180793;2207;5731;
237;false;false;2;16;222;0;0;6478;181161;1839;4668;
320;false;false;6;16;305;0;0;5415;180793;2207;5731;
322;false;false;6;16;307;0;0;5415;180793;2207;5731;
239;false;false;2;16;224;0;0;6478;181161;1839;4668;
235;false;false;2;16;220;0;0;6478;181161;1839;4668;
328;false;false;7;18;311;0;0;5580;179889;3111;5566;
330;false;false;7;18;313;0;0;5580;179889;3111;5566;
317;false;false;6;16;302;0;0;5415;180793;2207;5731;
231;false;false;2;16;216;0;0;6478;181161;1839;4668;
542;false;false;6;20;521;2;0;5800;181598;1402;5346;
324;false;false;6;16;309;0;0;5415;180793;2207;5731;
249;false;false;6;16;234;0;0;5178;180792;2208;5968;
337;false;true;6;18;318;2;0;5922;181293;1707;5224;
247;false;false;6;16;232;0;0;5178;180792;2208;5968;
334;false;false;7;18;317;0;0;5580;179889;3111;5566;
332;false;false;7;18;315;0;0;5580;179889;3111;5566;
251;false;false;6;16;236;0;0;5178;180792;2208;5968;
243;false;false;3;16;228;0;0;5815;181599;1401;5331;
342;false;false;6;18;323;2;0;5922;181293;1707;5224;
340;false;false;6;18;321;2;0;5922;181293;1707;5224;
329;false;false;7;18;312;0;0;5580;179889;3111;5566;
554;false;false;6;20;533;2;0;5800;181598;1402;5346;
336;false;false;7;18;318;1;0;5580;179889;3111;5566;
349;false;false;6;18;330;2;0;5922;181293;1707;5224;
259;false;false;6;16;244;0;0;5178;180792;2208;5968;
346;false;false;6;18;327;2;0;5922;181293;1707;5224;
261;false;false;6;16;246;0;0;5178;180792;2208;5968;
344;false;false;6;18;325;2;0;5922;181293;1707;5224;
263;false;false;6;16;248;0;0;5178;180792;2208;5968;
354;false;false;6;18;335;2;0;5922;181293;1707;5224;
352;false;false;6;18;333;2;0;5922;181293;1707;5224;
255;false;false;6;16;240;0;0;5178;180792;2208;5968;
341;false;false;6;18;322;2;0;5922;181293;1707;5224;
348;false;false;6;18;329;2;0;5922;181293;1707;5224;
566;false;false;6;20;545;2;0;5800;181598;1402;5346;
361;false;false;6;18;342;2;0;5922;181293;1707;5224;
271;false;false;6;16;256;0;0;5178;180792;2208;5968;
358;false;false;6;18;339;2;0;5922;181293;1707;5224;
273;false;false;6;16;258;0;0;5178;180792;2208;5968;
356;false;false;6;18;337;2;0;5922;181293;1707;5224;
275;false;false;6;16;260;0;0;5178;180792;2208;5968;
366;false;false;6;18;347;2;0;5922;181293;1707;5224;
267;false;false;6;16;252;0;0;5178;180792;2208;5968;
364;false;false;6;18;345;2;0;5922;181293;1707;5224;
353;false;false;6;18;334;2;0;5922;181293;1707;5224;
360;false;false;6;18;341;2;0;5922;181293;1707;5224;
578;false;false;6;20;557;2;0;5800;181598;1402;5346;
373;false;false;6;18;354;2;0;5922;181293;1707;5224;
370;false;false;6;18;351;2;0;5922;181293;1707;5224;
283;false;false;6;16;268;0;0;5178;180792;2208;5968;
285;false;false;6;16;270;0;0;5178;180792;2208;5968;
368;false;false;6;18;349;2;0;5922;181293;1707;5224;
378;false;false;6;18;359;2;0;5922;181293;1707;5224;
287;false;false;6;16;272;0;0;5178;180792;2208;5968;
279;false;false;6;16;264;0;0;5178;180792;2208;5968;
365;false;false;6;18;346;2;0;5922;181293;1707;5224;
372;false;false;6;18;353;2;0;5922;181293;1707;5224;
376;false;false;6;18;357;2;0;5922;181293;1707;5224;
382;false;false;6;18;363;2;0;5922;181293;1707;5224;
295;false;false;6;16;280;0;0;5178;180792;2208;5968;
385;false;false;6;18;366;2;0;5922;181293;1707;5224;
590;false;false;6;20;569;2;0;5800;181598;1402;5346;
380;false;false;6;18;361;2;0;5922;181293;1707;5224;
297;false;false;6;16;282;0;0;5178;180792;2208;5968;
390;false;false;6;18;371;2;0;5922;181293;1707;5224;
299;false;false;6;16;284;0;0;5178;180792;2208;5968;
291;false;false;6;16;276;0;0;5178;180792;2208;5968;
384;false;false;6;18;365;2;0;5922;181293;1707;5224;
377;false;false;6;18;358;2;0;5922;181293;1707;5224;
392;false;false;6;18;373;2;0;5922;181293;1707;5224;
394;true;true;6;19;374;2;0;5649;180063;2937;5497;
307;false;false;6;16;292;0;0;5146;180436;2564;6000;
309;false;false;6;16;294;0;0;5146;180436;2564;6000;
602;false;false;7;22;579;2;0;5959;181598;1402;5187;
388;false;false;6;18;369;2;0;5922;181293;1707;5224;
397;false;false;6;20;376;2;0;5713;180017;2983;5433;
402;false;false;6;20;381;2;0;5713;180017;2983;5433;
303;false;false;6;16;288;0;0;5146;180436;2564;6000;
311;false;false;6;16;296;0;0;5146;180436;2564;6000;
396;false;false;6;20;375;2;0;5713;180017;2983;5433;
389;false;false;6;18;370;2;0;5922;181293;1707;5224;
321;false;false;6;16;306;0;0;5415;180793;2207;5731;
406;false;true;6;20;385;2;0;5692;180925;2075;5454;
319;false;false;6;16;304;0;0;5415;180793;2207;5731;
404;false;false;6;20;383;2;0;5713;180017;2983;5433;
614;false;true;7;22;591;2;0;5807;181859;1141;5339;
400;false;false;6;20;379;2;0;5713;180017;2983;5433;
409;false;false;6;20;388;2;0;5692;180925;2075;5454;
414;false;false;6;20;393;2;0;5834;180664;2336;5312;
323;false;false;6;16;308;0;0;5415;180793;2207;5731;
315;false;false;6;16;300;0;0;5146;180436;2564;6000;
408;false;false;6;20;387;2;0;5692;180925;2075;5454;
401;false;false;6;20;380;2;0;5713;180017;2983;5433;
333;false;false;7;18;316;0;0;5580;179889;3111;5566;
331;false;true;7;18;314;0;0;5679;180209;2791;5467;
418;false;false;6;20;397;2;0;5834;180664;2336;5312;
412;false;false;6;20;391;2;0;5834;180664;2336;5312;
416;false;false;6;20;395;2;0;5834;180664;2336;5312;
421;false;false;6;20;400;2;0;5834;180664;2336;5312;
426;false;false;6;20;405;2;0;5834;180664;2336;5312;
335;false;false;7;18;318;0;0;5580;179889;3111;5566;
327;false;false;7;18;310;0;0;5580;179889;3111;5566;
626;false;false;9;26;599;2;0;6510;180828;2172;4636;
420;false;false;6;20;399;2;0;5834;180664;2336;5312;
345;false;false;6;18;326;2;0;5922;181293;1707;5224;
413;false;false;6;20;392;2;0;5834;180664;2336;5312;
343;false;false;6;18;324;2;0;5922;181293;1707;5224;
430;false;false;6;20;409;2;0;5834;180664;2336;5312;
347;false;false;6;18;328;2;0;5922;181293;1707;5224;
424;false;false;6;20;403;2;0;5834;180664;2336;5312;
433;false;false;6;20;412;2;0;5834;180664;2336;5312;
428;false;false;6;20;407;2;0;5834;180664;2336;5312;
339;false;false;6;18;320;2;0;5922;181293;1707;5224;
438;false;false;6;20;417;2;0;5834;180664;2336;5312;
432;false;false;6;20;411;2;0;5834;180664;2336;5312;
425;false;false;6;20;404;2;0;5834;180664;2336;5312;
357;false;false;6;18;338;2;0;5922;181293;1707;5224;
638;false;false;9;26;611;2;0;6510;180828;2172;4636;
355;false;false;6;18;336;2;0;5922;181293;1707;5224;
359;false;false;6;18;340;2;0;5922;181293;1707;5224;
442;false;false;6;20;421;2;0;5834;180664;2336;5312;
351;false;false;6;18;332;2;0;5922;181293;1707;5224;
445;false;false;6;20;424;2;0;5834;180664;2336;5312;
440;false;false;6;20;419;2;0;5834;180664;2336;5312;
436;false;false;6;20;415;2;0;5834;180664;2336;5312;
450;false;false;6;20;429;2;0;5834;180664;2336;5312;
444;false;true;6;20;423;2;0;5834;180664;2336;5312;
437;false;false;6;20;416;2;0;5834;180664;2336;5312;
369;false;false;6;18;350;2;0;5922;181293;1707;5224;
367;false;false;6;18;348;2;0;5922;181293;1707;5224;
371;false;false;6;18;352;2;0;5922;181293;1707;5224;
650;false;false;9;26;623;2;0;6510;180828;2172;4636;
363;false;false;6;18;344;2;0;5922;181293;1707;5224;
454;false;false;6;20;433;2;0;5834;180664;2336;5312;
457;false;false;6;20;436;2;0;5834;180664;2336;5312;
452;false;false;6;20;431;2;0;5834;180664;2336;5312;
448;false;false;6;20;427;2;0;5834;180664;2336;5312;
462;false;false;6;20;441;2;0;5834;180664;2336;5312;
456;false;false;6;20;435;2;0;5834;180664;2336;5312;
379;false;false;6;18;360;2;0;5922;181293;1707;5224;
449;false;false;6;20;428;2;0;5834;180664;2336;5312;
381;false;false;6;18;362;2;0;5922;181293;1707;5224;
383;false;false;6;18;364;2;0;5922;181293;1707;5224;
375;false;false;6;18;356;2;0;5922;181293;1707;5224;
466;false;false;6;20;445;2;0;5834;180664;2336;5312;
460;false;false;6;20;439;2;0;5834;180664;2336;5312;
464;false;false;6;20;443;2;0;5834;180664;2336;5312;
469;false;false;6;20;448;2;0;5834;180664;2336;5312;
662;false;false;9;30;631;2;0;6645;181170;1830;4501;
474;false;false;6;20;453;2;0;5834;180664;2336;5312;
468;false;false;6;20;447;2;0;5834;180664;2336;5312;
391;false;false;6;18;372;2;0;5922;181293;1707;5224;
393;false;false;6;18;374;2;0;5922;181293;1707;5224;
461;false;false;6;20;440;2;0;5834;180664;2336;5312;
395;false;true;6;20;374;2;0;5713;180017;2983;5433;
387;false;false;6;18;368;2;0;5922;181293;1707;5224;
481;false;false;6;20;460;2;0;5834;180664;2336;5312;
478;false;false;6;20;457;2;0;5834;180664;2336;5312;
476;false;false;6;20;455;2;0;5834;180664;2336;5312;
472;false;false;6;20;451;2;0;5834;180664;2336;5312;
480;false;false;6;20;459;2;0;5834;180664;2336;5312;
674;false;false;9;30;643;2;0;6645;181170;1830;4501;
486;false;true;6;20;465;2;0;5776;180702;2298;5370;
405;false;false;6;20;384;2;0;5713;180017;2983;5433;
403;false;false;6;20;382;2;0;5713;180017;2983;5433;
473;false;false;6;20;452;2;0;5834;180664;2336;5312;
407;false;false;6;20;386;2;0;5692;180925;2075;5454;
399;false;false;6;20;378;2;0;5713;180017;2983;5433;
493;false;false;6;20;472;2;0;5800;181598;1402;5346;
488;false;true;6;20;467;2;0;5799;181090;1910;5347;
490;false;true;6;20;469;2;0;5800;181598;1402;5346;
484;false;false;6;20;463;2;0;5834;180664;2336;5312;
498;false;false;6;20;477;2;0;5800;181598;1402;5346;
492;false;false;6;20;471;2;0;5800;181598;1402;5346;
